PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
0,Earth,FALSE,55 Cancri e,22,FALSE,0,833,381,0,12,Miranda Pratt,TRUE
1,Mars,TRUE,TRAPPIST-1e,61,FALSE,0,0,0,0,0,Isaac Werner,TRUE
2,Mars,TRUE,TRAPPIST-1e,5,FALSE,0,0,0,0,0,Elisha Rosario,TRUE
3,Earth,FALSE,55 Cancri e,14,FALSE,653,0,4,0,0,Deshawn Hall,FALSE
4,Earth,FALSE,PSO J318.5-22,2,FALSE,0,0,0,0,0,Justice Archer,TRUE
5,Earth,FALSE,TRAPPIST-1e,31,FALSE,183,0,32,0,1171,Kaiden Harmon,FALSE
6,Europa,TRUE,55 Cancri e,22,FALSE,0,0,0,0,0,Nathen Mcgrath,TRUE
7,Earth,FALSE,TRAPPIST-1e,2,FALSE,0,0,0,0,0,Damon Daniel,FALSE
8,Mars,FALSE,55 Cancri e,37,FALSE,326,0,455,2,0,Angeline Calhoun,FALSE
9,Europa,FALSE,55 Cancri e,20,FALSE,0,290,0,1866,217,Rosemary Castaneda,FALSE
10,Earth,FALSE,TRAPPIST-1e,41,FALSE,699,0,0,2,31,Elsie Mayer,TRUE
11,Earth,FALSE,TRAPPIST-1e,18,FALSE,0,0,0,0,810,Devan Mcclain,FALSE
12,Earth,FALSE,TRAPPIST-1e,0,FALSE,0,0,0,0,0,Ashlynn Brandt,TRUE
13,Earth,TRUE,TRAPPIST-1e,19,FALSE,0,0,0,0,0,London Best,TRUE
14,Earth,FALSE,TRAPPIST-1e,19,FALSE,1,143,0,254,107,Alannah Walton,TRUE
15,Europa,FALSE,TRAPPIST-1e,33,FALSE,0,357,2366,1612,2137,Joaquin Christensen,FALSE
16,Earth,FALSE,TRAPPIST-1e,39,FALSE,0,1496,0,140,383,Patience Owen,FALSE
17,Earth,FALSE,55 Cancri e,50,FALSE,0,433,4,0,2020,Leo Duran,FALSE
18,Europa,TRUE,55 Cancri e,55,FALSE,0,0,0,0,0,Keyla Arellano,TRUE
19,Mars,FALSE,TRAPPIST-1e,9,FALSE,0,0,0,0,0,Moises Jones,TRUE
20,Earth,FALSE,TRAPPIST-1e,42,FALSE,5049,477,0,0,0,Jayden Hooper,FALSE
